,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
10,GO:BP,GO:0002252,immune effector process,1.244579534587725e-47,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",698,1478,173,21031,0.11705006765899864,0.24785100286532952,Module Singleton,['GO:0002376']
11,GO:BP,GO:0006952,defense response,2.601178733689899e-47,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1791,1478,303,21031,0.2050067658998647,0.16917922948073702,Module Singleton,['GO:0006950']
12,GO:BP,GO:0006950,response to stress,2.103927379684118e-41,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3855,1478,487,21031,0.32949932341001353,0.12632944228274967,Module Singleton,['GO:0050896']
13,REAC,REAC:R-HSA-2029481,FCGR activation,8.971678022462833e-39,True,FCGR activation,67,982,52,10842,0.05295315682281059,0.7761194029850746,Module Singleton,['REAC:R-HSA-2029480']
14,GO:BP,GO:0002443,leukocyte mediated immunity,6.380592957536643e-38,True,"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",460,1478,125,21031,0.08457374830852503,0.2717391304347826,Module Singleton,['GO:0002252']
15,GO:BP,GO:0006954,inflammatory response,6.57967434974431e-38,True,"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]",829,1478,175,21031,0.11840324763193505,0.21109770808202655,Module Singleton,['GO:0006952']
16,REAC,REAC:R-HSA-173623,Classical antibody-mediated complement activation,9.131670570655947e-38,True,Classical antibody-mediated complement activation,61,982,49,10842,0.04989816700610998,0.8032786885245902,Module Singleton,['REAC:R-HSA-166786']
17,REAC,REAC:R-HSA-168256,Immune System,2.2457796606821915e-37,True,Immune System,2052,982,353,10842,0.3594704684317719,0.17202729044834308,Module Singleton,['REAC:0000000']
18,GO:BP,GO:0009605,response to external stimulus,1.005545077891547e-36,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2723,1478,372,21031,0.2516914749661705,0.13661402864487698,Module Singleton,['GO:0050896']
19,GO:BP,GO:0043207,response to external biotic stimulus,1.689344895678297e-36,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1551,1478,255,21031,0.17253044654939106,0.1644100580270793,Module Singleton,"['GO:0009605', 'GO:0009607']"
20,GO:BP,GO:0051707,response to other organism,3.5237667622969694e-36,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1548,1478,254,21031,0.17185385656292287,0.1640826873385013,Module Singleton,"['GO:0043207', 'GO:0044419']"
21,GO:BP,GO:0051716,cellular response to stimulus,4.600457517330012e-36,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7394,1478,757,21031,0.5121786197564276,0.10238030835812821,Module Singleton,"['GO:0009987', 'GO:0050896']"
22,GO:BP,GO:0009607,response to biotic stimulus,1.0577095359690774e-35,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1586,1478,257,21031,0.17388362652232747,0.16204287515762925,Module Singleton,['GO:0050896']
23,REAC,REAC:R-HSA-166786,Creation of C4 and C2 activators,3.394920932056572e-35,True,Creation of C4 and C2 activators,68,982,50,10842,0.05091649694501019,0.7352941176470589,Module Singleton,['REAC:R-HSA-166663']
24,GO:BP,GO:0051239,regulation of multicellular organismal process,5.524136765351749e-35,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2955,1478,389,21031,0.2631935047361299,0.13164128595600677,Module Singleton,"['GO:0032501', 'GO:0050789']"
25,REAC,REAC:R-HSA-2168880,Scavenging of heme from plasma,1.1284055853203625e-34,True,Scavenging of heme from plasma,69,982,50,10842,0.05091649694501019,0.7246376811594203,Module Singleton,['REAC:R-HSA-2173782']
26,GO:CC,GO:0030141,secretory granule,2.374475658764091e-34,True,"""A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules."" [GOC:mah, ISBN:0198506732]",896,1541,175,22097,0.1135626216742375,0.1953125,Module Singleton,"['GO:0012505', 'GO:0099503']"
27,GO:BP,GO:0002682,regulation of immune system process,3.0893072550035402e-34,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1512,1478,246,21031,0.16644113667117727,0.1626984126984127,Module Singleton,"['GO:0002376', 'GO:0050789']"
28,REAC,REAC:R-HSA-166663,Initial triggering of complement,4.409637000668149e-34,True,Initial triggering of complement,76,982,52,10842,0.05295315682281059,0.6842105263157895,Module Singleton,['REAC:R-HSA-166658']
29,GO:BP,GO:0001775,cell activation,8.1491327928083e-34,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1092,1478,199,21031,0.13464140730717186,0.18223443223443223,Module Singleton,"['GO:0009987', 'GO:0032501']"
30,GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,9.773168460677863e-34,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1724,1478,267,21031,0.18064952638700948,0.15487238979118328,Module Singleton,['GO:0008150']
31,REAC,REAC:R-HSA-5690714,CD22 mediated BCR regulation,1.1697087238401205e-33,True,CD22 mediated BCR regulation,60,982,46,10842,0.04684317718940937,0.7666666666666667,Module Singleton,['REAC:R-HSA-983705']
32,REAC,REAC:R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,2.983661242546842e-33,True,Role of LAT2/NTAL/LAB on calcium mobilization,69,982,49,10842,0.04989816700610998,0.7101449275362319,Module Singleton,['REAC:R-HSA-2454202']
33,REAC,REAC:R-HSA-2029485,Role of phospholipids in phagocytosis,6.112248070496854e-32,True,Role of phospholipids in phagocytosis,81,982,52,10842,0.05295315682281059,0.6419753086419753,Module Singleton,['REAC:R-HSA-2029480']
34,REAC,REAC:R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,6.235604409936508e-32,True,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,181,982,78,10842,0.07942973523421588,0.430939226519337,Module Singleton,['REAC:R-HSA-1280218']
35,GO:BP,GO:0002449,lymphocyte mediated immunity,2.7778064059097136e-31,True,"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",361,1478,101,21031,0.06833558863328823,0.27977839335180055,Module Singleton,['GO:0002443']
36,REAC,REAC:R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,5.821050474567874e-31,True,Binding and Uptake of Ligands by Scavenger Receptors,97,982,56,10842,0.05702647657841141,0.5773195876288659,Module Singleton,['REAC:R-HSA-5653656']
37,REAC,REAC:R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,9.003663955110627e-31,True,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,84,982,52,10842,0.05295315682281059,0.6190476190476191,Module Singleton,['REAC:R-HSA-983705']
38,GO:CC,GO:0099503,secretory vesicle,1.0402020722881791e-30,True,"""A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space."" [GOC:dos]",1069,1541,188,22097,0.12199870214146658,0.17586529466791395,Module Singleton,['GO:0031410']
39,GO:CC,GO:0016020,membrane,1.2660420544400554e-30,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9864,1541,914,22097,0.5931213497728748,0.09266017842660178,Module Singleton,['GO:0110165']
40,GO:BP,GO:0007165,signal transduction,2.1561954539463288e-30,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",5959,1478,628,21031,0.4248985115020298,0.10538680986742742,Module Singleton,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
41,REAC,REAC:R-HSA-202733,Cell surface interactions at the vascular wall,3.79510997735273e-30,True,Cell surface interactions at the vascular wall,190,982,78,10842,0.07942973523421588,0.4105263157894737,Module Singleton,['REAC:R-HSA-109582']
42,REAC,REAC:R-HSA-9664323,FCGR3A-mediated IL10 synthesis,5.681297822736238e-30,True,FCGR3A-mediated IL10 synthesis,93,982,54,10842,0.054989816700611,0.5806451612903226,Module Singleton,['REAC:R-HSA-9662851']
43,GO:BP,GO:0007166,cell surface receptor signaling pathway,5.863635278523466e-30,True,"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]",2799,1478,361,21031,0.2442489851150203,0.12897463379778493,Module Singleton,['GO:0007165']
44,GO:BP,GO:0010033,response to organic substance,6.448950330257038e-30,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:sm, PMID:23356676]",2637,1478,346,21031,0.23410013531799728,0.13120970800151688,Module Singleton,['GO:0042221']
45,GO:BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,9.49692867717847e-30,True,"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]",375,1478,101,21031,0.06833558863328823,0.2693333333333333,Module Singleton,['GO:0002250']
46,GO:BP,GO:0098542,defense response to other organism,9.581744790002543e-30,True,"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]",1220,1478,205,21031,0.13870094722598106,0.1680327868852459,Module Singleton,"['GO:0006952', 'GO:0051707']"
47,GO:BP,GO:0050900,leukocyte migration,1.1157086673459792e-29,True,"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]",396,1478,104,21031,0.07036535859269283,0.26262626262626265,Module Singleton,"['GO:0002376', 'GO:0016477']"
48,REAC,REAC:R-HSA-977606,Regulation of Complement cascade,1.1202482377938774e-29,True,Regulation of Complement cascade,101,982,56,10842,0.05702647657841141,0.5544554455445545,Module Singleton,['REAC:R-HSA-166658']
49,GO:BP,GO:0042127,regulation of cell population proliferation,1.6169609725712215e-29,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1683,1478,253,21031,0.17117726657645466,0.1503267973856209,Module Singleton,"['GO:0008283', 'GO:0050794']"
50,REAC,REAC:R-HSA-109582,Hemostasis,4.1467735463760494e-29,True,Hemostasis,672,982,159,10842,0.16191446028513237,0.23660714285714285,Module Singleton,['REAC:0000000']
51,REAC,REAC:R-HSA-166658,Complement cascade,6.480255814421143e-29,True,Complement cascade,111,982,58,10842,0.059063136456211814,0.5225225225225225,Module Singleton,['REAC:R-HSA-168249']
52,GO:BP,GO:0032501,multicellular organismal process,8.221782058827981e-29,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7669,1478,753,21031,0.5094722598105548,0.09818750814969357,Module Singleton,['GO:0008150']
53,REAC,REAC:R-HSA-2871796,FCERI mediated MAPK activation,1.054418104754566e-28,True,FCERI mediated MAPK activation,83,982,50,10842,0.05091649694501019,0.6024096385542169,Module Singleton,['REAC:R-HSA-2454202']
54,REAC,REAC:R-HSA-2871809,FCERI mediated Ca+2 mobilization,1.054418104754566e-28,True,FCERI mediated Ca+2 mobilization,83,982,50,10842,0.05091649694501019,0.6024096385542169,Module Singleton,['REAC:R-HSA-2454202']
55,GO:BP,GO:0008283,cell population proliferation,1.0752596770771322e-28,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",2006,1478,283,21031,0.19147496617050067,0.14107676969092722,Module Singleton,['GO:0009987']
56,GO:BP,GO:0140546,defense response to symbiont,1.1399124821322467e-28,True,"""Reactions triggered in response to the presence of a symbiont that act to protect or prevent damage to the host."" [GOC:pg]",1113,1478,191,21031,0.12922868741542626,0.17160826594788858,Module Singleton,['GO:0098542']
57,REAC,REAC:R-HSA-9664433,Leishmania parasite growth and survival,1.3845505011920887e-28,True,Leishmania parasite growth and survival,132,982,63,10842,0.06415478615071284,0.4772727272727273,Module Singleton,['REAC:R-HSA-9658195']
58,REAC,REAC:R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,1.3845505011920887e-28,True,Anti-inflammatory response favouring Leishmania parasite infection,132,982,63,10842,0.06415478615071284,0.4772727272727273,Module Singleton,['REAC:R-HSA-9664433']
59,REAC,REAC:R-HSA-168249,Innate Immune System,4.119708111464391e-28,True,Innate Immune System,1101,982,216,10842,0.219959266802444,0.19618528610354224,Module Singleton,['REAC:R-HSA-168256']
60,GO:BP,GO:0007154,cell communication,7.886057206946716e-28,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6537,1478,664,21031,0.44925575101488496,0.10157564632094233,Module Singleton,['GO:0009987']
61,GO:BP,GO:0045321,leukocyte activation,1.4616767234802685e-27,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",946,1478,170,21031,0.11502029769959404,0.17970401691331925,Module Singleton,"['GO:0001775', 'GO:0002376']"
62,GO:BP,GO:0009617,response to bacterium,2.4463805812202415e-27,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]",720,1478,143,21031,0.09675236806495263,0.1986111111111111,Module Singleton,['GO:0051707']
63,GO:BP,GO:0023052,signaling,2.9983822364544913e-27,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6447,1478,655,21031,0.4431664411366712,0.1015976423142547,Module Singleton,['GO:0050789']
64,GO:BP,GO:0002684,positive regulation of immune system process,5.223429613828559e-27,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1054,1478,181,21031,0.12246278755074425,0.17172675521821631,Module Singleton,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
65,GO:BP,GO:0070887,cellular response to chemical stimulus,1.1978716388372013e-26,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2683,1478,341,21031,0.2307171853856563,0.12709653373089824,Module Singleton,"['GO:0042221', 'GO:0051716']"
66,GO:CC,GO:0031982,vesicle,3.235245951605438e-26,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4004,1541,451,22097,0.2926670992861778,0.11263736263736264,Module Singleton,['GO:0043227']
67,GO:BP,GO:0019724,B cell mediated immunity,1.0676420396735486e-25,True,"""Any process involved with the carrying out of an immune response by a B cell, through, for instance, the production of antibodies or cytokines, or antigen presentation to T cells."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",207,1478,69,21031,0.04668470906630582,0.3333333333333333,Module Singleton,"['GO:0002449', 'GO:0002460']"
68,GO:BP,GO:0016064,immunoglobulin mediated immune response,2.707475201276875e-25,True,"""An immune response mediated by immunoglobulins, whether cell-bound or in solution."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",204,1478,68,21031,0.046008119079837616,0.3333333333333333,Module Singleton,['GO:0019724']
69,GO:BP,GO:0048518,positive regulation of biological process,7.618512129206825e-25,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6250,1478,631,21031,0.42692828146143436,0.10096,Module Singleton,"['GO:0008150', 'GO:0050789']"
70,GO:BP,GO:0034097,response to cytokine,2.0461686571083883e-24,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]",932,1478,162,21031,0.10960757780784844,0.17381974248927037,Module Singleton,['GO:0010033']
71,GO:BP,GO:0006935,chemotaxis,3.391970097687173e-24,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",463,1478,105,21031,0.07104194857916103,0.2267818574514039,Module Singleton,"['GO:0042221', 'GO:0042330']"
72,GO:BP,GO:0040011,locomotion,4.2084440954519465e-24,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1234,1478,194,21031,0.13125845737483086,0.15721231766612642,Module Singleton,['GO:0008150']
73,GO:BP,GO:0097529,myeloid leukocyte migration,4.686582134764878e-24,True,"""The movement of a myeloid leukocyte within or between different tissues and organs of the body."" [GOC:cvs, PMID:22342843, PMID:24157461]",237,1478,72,21031,0.04871447902571042,0.3037974683544304,Module Singleton,['GO:0050900']
74,GO:BP,GO:0042330,taxis,4.9407957772897425e-24,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",465,1478,105,21031,0.07104194857916103,0.22580645161290322,Module Singleton,"['GO:0009605', 'GO:0040011']"
75,GO:BP,GO:0030595,leukocyte chemotaxis,2.8123919025752904e-23,True,"""The movement of a leukocyte in response to an external stimulus."" [GOC:add, GOC:jl]",237,1478,71,21031,0.04803788903924222,0.29957805907172996,Module Singleton,"['GO:0050900', 'GO:0060326']"
76,GO:MF,GO:0005102,signaling receptor binding,4.7468626511943226e-23,True,"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]",1501,1449,220,20212,0.1518288474810214,0.14656895403064624,Module Singleton,['GO:0005515']
77,GO:BP,GO:0060326,cell chemotaxis,8.560023006901097e-23,True,"""The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [GOC:dph]",320,1478,83,21031,0.05615696887686062,0.259375,Module Singleton,"['GO:0006935', 'GO:0016477', 'GO:0070887']"
78,GO:BP,GO:0042221,response to chemical,1.240903931172434e-22,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3957,1478,439,21031,0.2970230040595399,0.11094263330806166,Module Singleton,['GO:0050896']
79,GO:BP,GO:0048522,positive regulation of cellular process,2.534183241106319e-22,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5717,1478,580,21031,0.39242219215155616,0.10145181039006472,Module Singleton,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
80,GO:BP,GO:0097530,granulocyte migration,2.669478684011444e-22,True,"""The movement of a granulocyte within or between different tissues and organs of the body."" [GOC:cvs, PMID:24163421, PMID:24193336]",156,1478,56,21031,0.037889039242219216,0.358974358974359,Module Singleton,['GO:0097529']
81,REAC,REAC:R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,1.1223304615498668e-21,True,Regulation of actin dynamics for phagocytic cup formation,116,982,52,10842,0.05295315682281059,0.4482758620689655,Module Singleton,['REAC:R-HSA-2029480']
82,GO:BP,GO:0051241,negative regulation of multicellular organismal process,1.5382643961870468e-21,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1110,1478,175,21031,0.11840324763193505,0.15765765765765766,Module Singleton,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
83,REAC,REAC:R-HSA-9664422,FCGR3A-mediated phagocytosis,2.1345191194200398e-21,True,FCGR3A-mediated phagocytosis,113,982,51,10842,0.051934826883910386,0.45132743362831856,Module Singleton,['REAC:R-HSA-9664417']
84,REAC,REAC:R-HSA-9664417,Leishmania phagocytosis,2.1345191194200398e-21,True,Leishmania phagocytosis,113,982,51,10842,0.051934826883910386,0.45132743362831856,Module Singleton,['REAC:R-HSA-9664407']
85,REAC,REAC:R-HSA-9664407,Parasite infection,2.1345191194200398e-21,True,Parasite infection,113,982,51,10842,0.051934826883910386,0.45132743362831856,Module Singleton,['REAC:R-HSA-9658195']
86,GO:BP,GO:0045087,innate immune response,2.5126482892628683e-21,True,"""Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."" [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_sensu]",965,1478,159,21031,0.10757780784844384,0.16476683937823836,Module Singleton,"['GO:0006955', 'GO:0140546']"
87,GO:BP,GO:0051240,positive regulation of multicellular organismal process,4.878488664893458e-21,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1637,1478,227,21031,0.15358592692828146,0.1386682956627978,Module Singleton,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
88,GO:BP,GO:0007155,cell adhesion,9.329281317378037e-21,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1512,1478,214,21031,0.14479025710419485,0.14153439153439154,Module Singleton,['GO:0009987']
89,GO:BP,GO:0006959,humoral immune response,1.5250034690172578e-20,True,"""An immune response mediated through a body fluid."" [GOC:hb, ISBN:0198506732]",254,1478,70,21031,0.04736129905277402,0.2755905511811024,Module Singleton,['GO:0006955']
